reported_date,confirmed_negative,presumptive_negative,presumptive_positive,confirmed_positive,resolved,deaths,total_cases,total_patients_approved_for_testing_as_of_reporting_date,total_tests_completed_in_the_last_day,under_investigation,number_of_patients_hospitalized_with_covid_19,number_of_patients_in_icu_with_covid_19,number_of_patients_in_icu_on_a_ventilator_with_covid_19
2020-01-26 00:00:00,,,1,,,,,,,9,,,
2020-01-27 00:00:00,,,2,,,,,,,19,,,
2020-01-28 00:00:00,,,1,1,,,1,,,11,,,
2020-01-30 00:00:00,,,0,2,,,2,,,27,,,
2020-01-31 00:00:00,,,0,2,,,2,,,17,,,
2020-02-03 00:00:00,,,0,3,,,3,,,29,,,
2020-02-04 00:00:00,90,12,0,3,,,3,139,,34,,,
2020-02-05 00:00:00,96,8,0,3,,,3,150,,43,,,
2020-02-06 00:00:00,104,0,0,3,,,3,169,,62,,,
2020-02-08 00:00:00,130,25,0,3,,,3,197,,39,,,
2020-02-10 00:00:00,167,81,0,3,,,3,259,,8,,,
2020-02-11 00:00:00,184,79,0,3,,,3,285,,19,,,
2020-02-12 00:00:00,257,44,0,2,1,,3,313,,9,,,
2020-02-13 00:00:00,306,16,0,2,1,,3,340,,15,,,
2020-02-14 00:00:00,353,0,0,2,1,,3,364,,8,,,
2020-02-17 00:00:00,399,0,0,2,1,,3,402,,0,,,
2020-02-18 00:00:00,418,0,0,2,1,,3,421,,0,,,
2020-02-19 00:00:00,436,0,0,2,1,,3,456,,17,,,
2020-02-20 00:00:00,462,,0,1,2,,3,479,,14,,,
2020-02-21 00:00:00,483,,0,0,3,,3,498,,12,,,
2020-02-24 00:00:00,540,,0,1,3,,4,553,,9,,,
2020-02-25 00:00:00,568,,0,1,3,,4,593,,21,,,
2020-02-26 00:00:00,610,,1,1,3,,4,629,,14,,,
2020-02-27 00:00:00,672,,1,2,3,,5,699,,21,,,
2020-02-28 00:00:00,739,,1,3,3,,6,768,,22,,,
2020-03-02 00:00:00,975,,,15,3,,18,1005,,12,,,
2020-03-03 00:00:00,1061,,,17,3,,20,1126,,45,,,
2020-03-04 00:00:00,1216,,,17,3,,20,1338,,102,,,
2020-03-05 00:00:00,1466,,,18,4,,22,1566,,78,,,
2020-03-06 00:00:00,1665,,,22,4,,26,1763,,72,,,
2020-03-07 00:00:00,1918,,,24,4,,28,1982,,36,,,
2020-03-08 00:00:00,2094,,,25,4,,29,2178,,55,,,
2020-03-09 00:00:00,2347,,,31,4,,35,2404,,22,,,
2020-03-10 00:00:00,2599,,,31,5,,36,2747,,112,,,
2020-03-11 00:00:00,2888,,,37,5,,42,3395,,465,,,
2020-03-12 00:00:00,3590,,,54,5,,59,4185,,536,,,
2020-03-13 00:00:00,4470,,,74,5,,79,5129,,580,,,
2020-03-14 00:00:00,5606,,,98,5,,103,6648,,939,,,
2020-03-15 00:00:00,7004,,,140,5,,145,8465,,1316,,,
2020-03-16 00:00:00,8464,,,172,5,,177,10178,,1537,,,
2020-03-17 00:00:00,9415,,,183,5,1,189,11171,,1567,,,
2020-03-18 00:00:00,10305,,,208,5,1,214,13897,,3378,,,
2020-03-19 00:00:00,12421,,,251,5,2,258,16650,,3971,,,
2020-03-20 00:00:00,13718,,,311,5,2,318,19511,,5475,,,
2020-03-21 00:00:00,15768,,,369,6,2,377,23384,,7239,,,
2020-03-22 00:00:00,17634,,,412,8,5,425,26420,,8361,,,
2020-03-23 00:00:00,19586,,,489,8,6,503,28506,,8417,,,
2020-03-24 00:00:00,21795,,,572,8,8,588,32457,,10074,,,
2020-03-25 00:00:00,24458,,,667,8,13,688,35635,,10489,,,
2020-03-26 00:00:00,26727,,,835,8,15,858,38550,,10965,,,
2020-03-27 00:00:00,29967,,,967,8,18,993,41032,,10074,,,
2020-03-28 00:00:00,33240,,,1117,8,19,1144,43072,,8690,,,
2020-03-29 00:00:00,40630,,,1324,8,23,1355,49186,,7203,,,
2020-03-30 00:00:00,,,,1252,431,23,1706,48461,,5651,,,
2020-03-31 00:00:00,,,,1399,534,33,1966,51629,,4280,,,
2020-04-01 00:00:00,,,,1681,674,37,2392,57874,,3135,,,
2020-04-02 00:00:00,,,,1909,831,53,2793,62733,,2052,405,167,112
2020-04-03 00:00:00,,,,2165,1023,67,3255,66753,,1245,462,194,140
2020-04-04 00:00:00,,,,2317,1219,94,3630,71338,,1336,506,196,152
2020-04-05 00:00:00,,,,2470,1449,119,4038,75046,,981,523,200,154
2020-04-06 00:00:00,,,,2591,1624,132,4347,78796,,329,589,216,160
2020-04-07 00:00:00,,,,2771,1802,153,4726,81364,,691,614,233,187
2020-04-08 00:00:00,,,,3028,2074,174,5276,84601,,1102,605,246,195
2020-04-09 00:00:00,,,,3254,2305,200,5759,88698,,1208,632,264,214
2020-04-10 00:00:00,,,,3441,2574,222,6237,92673,,1598,673,260,217
2020-04-11 00:00:00,,,,3537,2858,253,6648,96321,,1517,691,257,215
2020-04-12 00:00:00,,,,3654,3121,274,7049,103165,,1619,738,261,196
2020-04-13 00:00:00,,,,3822,3357,291,7470,108230,,1534,760,263,203
2020-04-14 00:00:00,,,,4051,3568,334,7953,113082,,2107,769,255,199
2020-04-15 00:00:00,,,,4160,3902,385,8447,119092,6010,4429,795,254,188
